observation_id,customer_id,tenure_months,monthly_charges,support_tickets,activity_days_30d,contract_type,churned
customer_0000_observation_00,customer_0000,4.70400800,83.05312100,3,21.98996800,annual,0
customer_0000_observation_01,customer_0000,4.53578100,85.54875000,4,21.82477300,annual,0
customer_0000_observation_02,customer_0000,5.29630000,83.50192200,2,19.70372800,annual,0
customer_0000_observation_03,customer_0000,5.97435300,86.90983300,3,21.23801800,annual,0
customer_0000_observation_04,customer_0000,5.81363500,86.60836600,4,21.32345300,annual,0
customer_0000_observation_05,customer_0000,7.24649700,86.82067600,3,21.17299500,annual,0
customer_0001_observation_00,customer_0001,14.69108600,58.07031800,0,12.90728800,monthly,0
customer_0001_observation_01,customer_0001,13.92375700,58.79453700,0,11.22597700,monthly,0
customer_0001_observation_02,customer_0001,13.80542600,55.09292200,0,10.14107700,monthly,0
customer_0001_observation_03,customer_0001,16.34883500,58.02633700,1,12.50910600,monthly,0
customer_0001_observation_04,customer_0001,14.78162400,58.84484800,1,13.28802100,monthly,0
customer_0001_observation_05,customer_0001,16.10671700,58.27251800,1,12.07251200,monthly,0
customer_0002_observation_00,customer_0002,23.44165500,79.71155700,1,10.60748000,monthly,1
customer_0002_observation_01,customer_0002,22.76513400,79.95029100,0,11.45886000,monthly,1
customer_0002_observation_02,customer_0002,23.32291300,80.25234900,2,11.91894000,monthly,1
customer_0002_observation_03,customer_0002,23.56818600,82.21380500,0,10.71406800,monthly,1
customer_0002_observation_04,customer_0002,23.71412300,78.37895800,0,10.61124800,monthly,1
customer_0002_observation_05,customer_0002,25.22376300,82.81148600,1,11.14572900,monthly,1
customer_0003_observation_00,customer_0003,41.18024900,77.86791500,1,14.46488800,monthly,0
customer_0003_observation_01,customer_0003,43.21969600,80.58746900,0,15.97899700,monthly,0
customer_0003_observation_02,customer_0003,42.47901700,78.84653800,0,17.64806200,monthly,0
customer_0003_observation_03,customer_0003,43.28341400,83.46243200,0,17.16414600,monthly,0
customer_0003_observation_04,customer_0003,44.20040000,78.79963100,1,16.93897800,monthly,0
customer_0003_observation_05,customer_0003,44.45059300,78.96522500,0,16.95835800,monthly,0
customer_0004_observation_00,customer_0004,60.12927300,81.16612200,0,11.60877200,two_year,0
customer_0004_observation_01,customer_0004,60.03633300,73.27265200,0,14.18615800,two_year,0
customer_0004_observation_02,customer_0004,59.72229100,74.04279800,0,15.14976100,two_year,0
customer_0004_observation_03,customer_0004,61.24736400,77.37597600,0,15.64201300,two_year,0
customer_0004_observation_04,customer_0004,60.84029200,79.04708800,0,14.32753300,two_year,0
customer_0004_observation_05,customer_0004,61.18961200,76.75973300,0,15.00468700,two_year,0
customer_0005_observation_00,customer_0005,69.99091400,89.26012500,3,19.31398300,monthly,0
customer_0005_observation_01,customer_0005,70.19937400,87.78812800,1,21.16934900,monthly,0
customer_0005_observation_02,customer_0005,71.91649300,89.90267700,2,20.70435800,monthly,0
customer_0005_observation_03,customer_0005,72.59542400,89.49031500,2,19.69292100,monthly,0
customer_0005_observation_04,customer_0005,71.63091900,90.63750700,1,20.94798400,monthly,0
customer_0005_observation_05,customer_0005,72.90553000,88.93921600,2,19.73541300,monthly,0
customer_0006_observation_00,customer_0006,34.76611600,47.76526800,1,23.26478600,monthly,0
customer_0006_observation_01,customer_0006,35.45965400,52.23955400,2,22.42820400,monthly,0
customer_0006_observation_02,customer_0006,35.82675800,47.46579700,0,22.42387000,monthly,0
customer_0006_observation_03,customer_0006,35.99920600,49.75386400,1,21.97519500,monthly,0
customer_0006_observation_04,customer_0006,37.46706900,50.93194200,1,21.49947200,monthly,0
customer_0006_observation_05,customer_0006,37.01673900,48.68696000,1,25.49191400,monthly,0
customer_0007_observation_00,customer_0007,12.56853100,65.69253900,4,9.93850100,monthly,1
customer_0007_observation_01,customer_0007,12.23337700,61.87251800,4,11.69682100,monthly,1
customer_0007_observation_02,customer_0007,13.30261800,60.72005800,3,12.95963100,monthly,1
customer_0007_observation_03,customer_0007,13.22348900,64.10861300,3,10.17414300,monthly,1
customer_0007_observation_04,customer_0007,13.85294600,66.06464200,4,12.52427200,monthly,0
customer_0007_observation_05,customer_0007,14.47660000,65.64424400,4,11.00321400,monthly,1
