case_id,amount,account_age_days,velocity_24h,device_trust_score,prior_chargebacks,risk_score,channel,fraud
case_000000,64.054968,353.334816,4,0.683949,0,0.012096205364,in_store,0
case_000001,28.996253,411.146338,0,0.743874,0,0.001010858401,in_store,0
case_000002,114.904981,273.266928,3,0.763406,0,0.010030434013,web,0
case_000003,22.671998,126.677138,4,0.620557,0,0.016049607602,web,0
case_000004,32.182112,500.047986,3,0.922703,0,0.001390901738,web,0
case_000005,26.915306,740.865543,6,0.425332,0,0.107543454226,mobile,0
case_000006,34.421255,235.473758,1,0.761657,0,0.001753932516,in_store,0
case_000007,10.285363,2147.44621,3,0.511305,0,0.004582984679,in_store,0
case_000008,28.128134,422.518854,3,0.796384,0,0.002299906497,in_store,0
case_000009,92.96188,260.449996,2,0.553886,1,0.066120314489,in_store,0
case_000010,11.859283,4000,1,0.677487,0,0.000673966285,in_store,0
case_000011,62.244908,1.797493,0,0.551427,0,0.022930369828,in_store,0
case_000012,23.970766,211.249796,0,0.929449,0,0.000341637191,in_store,0
case_000013,6.192617,551.73569,5,0.878692,0,0.001125860024,in_store,0
case_000014,242.40696,1639.546641,3,0.869966,0,0.003882166932,in_store,0
case_000015,21.579507,357.778718,1,0.61531,0,0.003707310949,web,0
case_000016,22.768753,930.921162,2,0.859406,0,0.000937349238,web,0
case_000017,60.585832,421.357086,1,0.541319,0,0.008353622693,in_store,0
case_000018,23.556441,1646.609543,0,0.63398,0,0.001511210438,web,0
case_000019,68.199822,314.311696,3,0.534142,0,0.022202820589,in_store,0
case_000020,39.036832,430.926119,1,0.685846,0,0.004886377524,mobile,0
case_000021,36.132779,672.574852,2,0.643893,0,0.004111335883,in_store,0
case_000022,14.190972,1472.656289,1,0.925243,0,0.000213747449,in_store,0
case_000023,144.602506,903.629902,0,0.702104,0,0.00373116894,web,0
case_000024,62.589876,576.807847,2,0.644484,0,0.006064702245,in_store,0
case_000025,187.675675,848.303201,0,0.943628,0,0.000996792719,web,0
case_000026,14.385523,190.27323,1,0.493931,0,0.007384166861,web,0
case_000027,26.254778,199.763023,1,0.854567,0,0.000868883257,in_store,0
case_000028,88.736056,179.70705,1,0.663764,0,0.00637075146,in_store,0
case_000029,21.687152,681.831783,2,0.783946,0,0.001594723085,web,0
case_000030,13.873456,233.851878,1,0.838084,0,0.000620834288,in_store,0
case_000031,12.361769,206.707067,2,0.665404,0,0.002610593102,in_store,0
case_000032,65.445658,262.850064,3,0.289603,0,0.121197236201,web,1
case_000033,347.228805,770.088468,1,0.437801,0,0.039957131571,in_store,0
case_000034,6.388826,1302.954971,2,0.944383,0,0.000182230052,in_store,0
case_000035,20.944053,178.581858,3,0.793342,0,0.004785254513,mobile,0
case_000036,201.548623,373.398784,2,0.394497,0,0.065548924601,in_store,0
case_000037,7.479821,123.310576,2,0.848428,0,0.001378614381,mobile,0
case_000038,69.69686,19.115645,3,0.720315,0,0.015796198974,in_store,0
case_000039,27.613277,1854.335672,3,0.61834,0,0.004486162476,in_store,0
case_000040,77.978522,678.815022,1,0.891452,0,0.001239083339,web,0
case_000041,16.616065,1724.208554,0,0.783245,0,0.000705736066,mobile,0
case_000042,11.157966,155.984063,0,0.538824,0,0.005118012994,mobile,0
case_000043,38.55902,9.734803,4,0.748924,0,0.03040600542,mobile,0
case_000044,25.013271,1065.871847,1,0.787693,0,0.001009828984,web,0
case_000045,139.279443,62.031106,0,0.865812,0,0.002220702038,in_store,0
case_000046,20.74535,48.466175,3,0.612615,0,0.011121103278,in_store,0
