id,severity,confidence,reproducibility,category,route,devpost_criterion,title,actual,recommended_correction,smallest_correction,acceptance_criteria,effort,score_leverage,related_source_issues
MB-001,P0,High,Reproduced by multiple independent agents,Reliability / state machine,/session/<id> step 2 → 'More ways to respond' → 'Not enough evidence'; /session/<uuid> (step 2 Prediction → 'More ways to respond'); /session/<uuid> (terminal bricked states); /session/{id} — Step 2 P,Design,"Learner scepticism paths ('Reject belief frame', 'Not enough evidence') permanently brick the session with raw internal state-machine error and no recovery",Raw banner text 'Invalid transition from INSUFFICIENT_EVIDENCE to BELIEF_TEST_PROPOSED' (session B) and 'Invalid transition from REJECTED_BY_LEARNER to BELIEF_TEST_PROPOSED' (session C). Repeating the click repeats the error. No in-session recovery; 'Start over' abandons the session. Revisiting the URL later shows 'Result withheld. No verified result was released... Return to the test and try again.' with no actionable element. || Raw internal state-machine error text is displayed; the session then transitions to a terminal 'Result withheld' state; the suggested recovery ('Return to the test a…,"Allow claim re-proposal from INSUFFICIENT_EVIDENCE/REJECTED_BY_LEARNER (add transitions) OR close those states explicitly: hide the resubmit form, show a human message ('This session is closed — start a new question') with a one-click new-session action; never render raw transition errors || Add the legitimate transition (re-proposal after learner rejection) as a first-class edge with its own event kind (e.g., belief_test.reproposed); gate the CTA on state validity; render user-safe error copy w…","Catch the transition error client-side and replace the Step-1 form with a closed-session panel + 'Start a new question' button || Catch the transition error client-side, keep the session at Step 1, and show 'That response closed this explanation — edit your claim and compare again' while allowing resubmission through the valid endpoint. || Same client-side guard as A16-02: keep session at Step 1 w…","After Reject/Not-enough-evidence, resubmission either succeeds or shows a closed-session panel with a working next action; no raw state text; deep-link to the session shows the same actionable panel || Reject → edit → resubmit reaches Prediction again with a new belief-test event recorded; no internal identifiers visible; session id unchanged and completable through Repair. || Not enough evidence → resubmit reaches Prediction again; no internal i…",S-M,Very high — removes a demo-killing crash on a judge-visible path,A4-01 A16-02 A16-03 A10-06 A4-07
MB-002,P0,High,Reproduced by multiple independent agents,Live-vs-sample integrity,/new; /new (LIVE GENERATION) → step 1 Question; /new (Live generation) and /judge; /new -> Question step (live); /new → 'Continue with my notebook' (no file selected),Technological Implementation,Live notebook journey (no-upload entry) silently dead-ends forever at 'Preparing artifact…' while /judge and /api/health claim live authority is 'configured' (misleading live-vs-sample state; post-upload path untestable),"Silent indefinite hang; no error, timeout, retry, or remediation; green readiness claims contradict the dead flow; /judge simultaneously advertises 'Deployed live authority is configured' and 'Run live' || The page immediately renders 'Uploaded notebook evidence — Preparing artifact…' with a perpetual loading chip although nothing was uploaded and no picker was shown. Integrity panel shows 'Notebook SHA-256: Pending intake, Evidence cells: 0, Support decision: Pending'. The primary CTA 'Compare two explanations' is disabled. The loading never resolves and no guidance appears; the only way forw…",Gate the CTA on artifact presence; add intake timeout + visible error + retry; make the readiness check end-to-end (ping a real runner) or downgrade the /judge claim to 'live mode unavailable in this deployment' || Gate the Question step on artifact presence: show an explicit attach dropzone as the primary state; only enter 'Preparing artifact…' after a file is selected; add timeout + error if intake stalls. || Make upload the primary CTA of step 1 in live mode; show the skeleton only during act…,"Disable 'Continue with my notebook' until a file is attached, and add a 30s intake timeout that surfaces an error with a 'use the sample lesson instead' escape || Change the empty state copy to 'No notebook attached yet — use Attach notebook below' and point the primary CTA at the file input. || Replace the pre-upload skeleton with 'Awaiting notebook — choose a supported .ipynb to begin' and renam…","Without an upload the live flow cannot be entered; with intake failure the user sees a clear message and recovery within 60s; /judge live-availability text matches reality || With no file selected, no perpetual loading indicator is shown; the upload affordance is the primary visible action; after selecting a file, intake visibly progresses or errors within a bounded time. || No indefinite loading state without an in-flight task; primary upload CT…",M,Very high — fixes the largest honesty gap in the submission,A4-02 A1-03 A3-06 A6-07 A16-07
MB-003,P0,High,Reproduced by multiple independent agents,AI authority / verification integrity,"/proof/<id> and /api/sessions/<id> (completed sample session); /session/<id> (Step 2 Prediction); /session/<id> (sample lesson), step 2 Prediction; /session/<id> step 2; /session/{id} — Step 2 Predict",Technological Implementation,"In every publicly reachable flow the 'GPT-5.6' belief framing is a byte-identical template across unrelated claim classes (sensible/absurd/contradictory; insufficientEvidence:false; confidence 0.93), presented with personalizing copy ('does this capture your view?') — the model-facing authority claim is falsified in all testable paths","currentHypothesis/competingHypothesis/evidenceRefs/alternatives/decisiveIntervention/uncertainty are BYTE-IDENTICAL across all three claims; only learnerClaim echoes input verbatim; uncertainty.confidence=0.93 and insufficientEvidence=false even for nonsense; the contradiction is never detected and the system arbitrarily keeps the 'generalizes' framing. belief_test.proposed event actor is 'system' with modelId 'leakage-customer-churn-belief-v1' (a prompt-template slug); there is no model/gpt actor in the event chain; proposed event outputHash differs per claim, so the hash binds the claim but …","Label sample framing as a pre-authored example ('In this sample, the belief spec is pre-written; live mode frames your claim'), and/or invoke the real model in sample mode; add claim-level sufficiency checks that set insufficientEvidence=true and refuse off-topic input. || Gate proof issuance on a meaningful claim-binding check; at minimum surface claim/framing mismatch warnings in the capsule. || Require a learner-authored model statement (empty textarea) before showing the system pair; or visi…","Add an in-flow disclosure line on step 2: 'These two explanations are pre-authored for the bundled sample, not generated from your claim.' || Add a visible 'claim was not analyzed' flag in the capsule when running in template mode. || Relabel 'Your current explanation' as 'One explanation that fits your claim' and add required 1-sentence learner restatement before the seal || One disclosure line o…","Two different claims produce visibly different framings OR the UI explicitly labels the framing as pre-authored; nonsense claims trigger a visible insufficient-evidence state. || Nonsense claims cannot yield a VERIFIED capsule without explicit warning. || Different claims yield visibly different explanation cards, or a mandatory learner-authored explanation field (empty by default) gates the seal || A judge typing two different claims sees either…",S (disclosure) / M (input-sensitive framing + refusal),High — directly undermines the Technological Implementation narrative if unaddressed.,A10-01 A5-02 A16-05 A10-10
MB-004,P0,High,Reproduced by multiple independent agents,AI authority / Codex evidence,"/judge, /; /session/<id> (sample) vs /replay/leakage-01; /session/<id> steps 3 and 6; /api/sessions/<id>/events; /session/<uuid> (sample), /replay/<id>, /judge; /session/{id}, /replay/leakage-01, /jud",Technological Implementation,"'Runtime Codex' is not demonstrable in any reachable path: codex events carry empty payloads, compile→verify completes in ~360 ms, and every compiled artifact is the 2026-07-14 stored fixture (sample-styled evidence served inside live-styled /new sessions)","codex events carry payload:{} and empty outputHashes — no plan, adapter, tests, or diff anywhere in the event stream. lab.verified fires 360ms after compilation_started with source 'stored-approved-leakage-v1', recordedAt 2026-07-14T11:18:03Z (5 days before the session), image counterlab-runner:local. patch.verified fires 1.17s after patch.compilation_started; patchHash 18712546… and diff bytes are identical across independent sessions and to the replay's stored patch. No *.compilation_completed event exists. || No Codex/model attribution anywhere in the product UI; attribution exists only in …","Either wire sample mode to the real pipeline (cheap fixture-backed kernel but genuinely compiled plan), or label the sample as 'recorded pipeline evidence' at the Test/Repair steps, and surface the compilerTrace (including rejections) in the replay UI. || Attribute Codex-generated artifacts in place: e.g. 'Patch generated by Codex (model gpt-5.6-sol, commit 4f2f6472), verified by leakage-verifier-v1' on the diff; mark the explanation reframe as AI-generated (see A2-15). || Label the sample path …","Change step-3 copy from 'CounterLab verified the plan' to 'This plan was verified once on 2026-07-14; the sample replays that evidence' and link the compilerTrace. || Add one provenance line under the verified notebook change and under 'Your current explanation' naming the generator model. || Add one line on step 3 of the sample ('Result authority: Fixed kernel - recorded verified run, replayed de…","codex events contain compiled artifact hashes produced after session start, or UI/API clearly marks the compilation as recorded replay. || A learner can state where Codex appears after using the product; attribution matches bundle actor/model fields. || A user can tell, without reading the API, that sample/replay results are recorded; live vs recorded modes are explicitly distinguished in the UI. || /judge contains resolvable pointers to all thre…",S (label) / L (real per-session compilation),High — the Codex-usage criterion is the published tiebreaker.,A10-02 A2-04 A9-04 A3-09 A10-03 A16-13
MB-005,P1,High,Reproduced by multiple independent agents,Trust surface / defect,"/proof/<id> (Evidence & proof panel; Provenance tab); /proof/<uuid> (also visible on /session/<uuid> throughout); /proof/<uuid> (palette); /session/<id>; /session/<id>, /proof/<id>, /replay/<id>; /ses",Design,"Evidence & proof drawer permanently shows '0 events' and empty tabs on every surface (session, proof page, replay) despite 12–20 server-side hash-chained events — flagship transparency surface contradicts the signed record at the payoff moment","Counter stays at '0 events' for the entire journey; all six tabs are empty in all observed states, including on the completed proof page whose own 'Download proof record' yields a rich 20-event chain. || Counter reads '0 events' for the whole journey; after completion every tab shows 'No <activity/plan/diff/tests/verifier> evidence yet. It will appear here when the session produces it.' Only Provenance has content. State persists after full reload. || Counter reads '0 events'; every tab shows an empty state ('No activity evidence yet. It will appear here when the session produces it.', 'No pla…","Wire the drawer to the same event/proof endpoints backing the download; make the empty state a loud error (not 'will appear here') when the session already has events; show the real event count in the footer. || Wire the drawer to the same event/artifact store that backs the proof download; show event chain, plan, diff, public-test report and verifier invariants per tab; fix the counter. || Populate the drawer from the session event chain for all modes (sample and replay already possess one), in…","Populate at least the Activity tab from the existing events endpoint and fix the counter; hide the remaining tabs until wired. || For sample/replay sessions, render the recorded session's events and verifier invariants from the stored bundle instead of the live feed. || Change the empty state to link the truth: 'This session's signed event chain (16 events) is available in the downloadable proof r…","In a completed sample session the footer shows 20 events and each tab renders the corresponding section of the proof record. || After completing the sample, the drawer shows >=12 events with actor/kind, the Verifier tab lists the accepted invariants (e.g. baseline_overlap_exists, canonical_result_hash), Tests tab shows publicTests 1/0, Diff tab shows the cell-3 patch. || After completing sample and replay, the drawer event count matches the capsu…",M,High — restores the central 'proof' differentiator in-app,A16-04 A2-01 A3-01 A4-03 A6-01 A9-01 A12-07 A10-13 A2-02 A1-05
MB-006,P1,High,Reproduced by multiple independent agents,Pedagogy / accessibility,"/session/<id> (Step 5 Apply, transfer gate); /session/<id> step 5 Apply (transfer); /session/<uuid> step 5 (Apply - Timeline transfer); /session/<uuid> step 5 Apply (Timeline transfer); /session/<uuid",Design,"Transfer gate ✓/× glyphs are inverted against the answer key: the deployment-safe option renders ✓ and fails, the future-leaking option renders × and passes (screen readers announce bare glyphs; correct reasoners punished)","The gate passes only when the learner selects the future-leaking feature ('Centered rolling target'), and fails the deployment-safe feature. The instruction says choose the feature 'that match[es] what is available when a real prediction is made' (safe-feature semantics); the timeline marks the leaky feature with × and the safe one with ✓; the failure hint ('remove any feature that reads values to the right of NOW') implies identify-the-risk semantics. Three signals contradict. The proof artifact confirms the gate intends identification semantics: selectedStrategy=time_ordered_holdout, identif…","Decide one semantics. Preferred: make the feature question explicitly 'Which feature crosses NOW and must be removed?', remove ✓/× safety framing from the timeline (or relabel as 'identified risk ✓'), and update the top instruction to 'Choose the split that matches deployment and identify the feature that leaks future information.' Accept 'Known item price' as a correct non-risk identification only if paired with naming the risk. || Replace check/x property glyphs with neutral labels ('available…","Change the instruction sentence and the ✓/× marker semantics; add one line under the feature question: 'Select the feature that reads information from after NOW.' || Swap the two glyphs to neutral text badges without check/x iconography || Replace the standalone check/cross characters in the timeline echo with the words 'safe'/'leaky' (or add them), and state answer correctness in the verdict line…","With a fresh session, selecting time-ordered holdout + Known item price plus explicit identification of the centered window as the risk passes; selecting the leaky feature as the feature-to-use fails; instruction, markers, hint, and gate agree on first attempt. || Selecting the keyed-correct feature never renders x/red adjacent to the selection; selecting the keyed-wrong feature never renders check/green || ['No check/cross glyph appears adjacent…",S,high,A16-01 A5-03 A8-02 A4-04 A3-02 A10-11
MB-007,P1,High,always,Pedagogy / prediction integrity,"/session/<id> (Step 2 Prediction, sample lesson); /session/<uuid> (step 2 Prediction)",Potential Impact,"Verdict leaks before the prediction seal: 'This is the deceptive random-split headline' and the fix ('keep each customer's rows together') are visible on the Prediction step pre-lock, defeating hindsight-bias protection","The UI calls the 0.985 accuracy 'the deceptive random-split headline under test' and describes the fix before the learner seals anything, cueing the 'correct' prediction || The chip calls the 0.985 headline 'deceptive' pre-commit, signaling the 'right' answer; similarly the collapsed 'Why?' text on step 1 telegraphs the generalization catch. The falsification loses force for attentive readers.","Gate all verdict/fix language ('deceptive', 'fairer test' description, directive hints) behind the prediction.committed event; show neutral evidence descriptions pre-seal || Pre-lock, caption outputs neutrally ('The notebook's reported headline. accuracy: 0.985'); reveal evaluative framing after the result.",Replace pre-seal relevance string with neutral 'accuracy displayed in notebook (random row split)' until sealed || Delete the word 'deceptive' from the pre-lock caption.,"Pre-seal Prediction DOM contains no verdict terms ('deceptive', 'leak', 'fairer test'); identical screenshot test passes across fresh sessions || No outcome-judging adjectives appear before prediction.committed in the event chain's UI.",S,high,A5-01 A2-07
MB-008,P1,High,Reproduced by multiple independent agents,Reliability / error recovery,/replay/<unknown-id>; /replay/<unknown-id> (tested /replay/bogus-id); /replay/<unknown_id>; /replay/bogus-id (any unknown replay id),Design,Bogus /replay/<id> (judge probe or stale link) yields a perpetual 'Opening this replay…' spinner with stale progress chrome and no recovery CTA,"Toast pill 'Replay bogus-id was not found' top-right, while the main area shows a permanent 'CHECKING STORED EVIDENCE / Opening this replay…' loading message that never resolves; header still shows 'REPLAY MODE' and the stepper shows stale progress (checkmarks and '3 Test') leaked from the previous session; the only exit is 'START OVER' in the header. || Toast 'Replay bogus-id-xyz was not found' appears, but the main panel stays in a perpetual 'CHECKING STORED EVIDENCE / Opening this replay...' loading state that never resolves; the wizard header misleadingly shows step 3 'Test' with Question …","Add an error branch to the replay loader: full-width 404 card with retry/home actions; reset stepper and mode badge when the replay id is invalid. || On replay fetch failure, render a terminal error panel (message + 'Watch the verified replay' and 'Back to home' CTAs) and reset the wizard chrome to a neutral state. || Make not-found terminal: remove the opening/checking spinner and offer a link to the valid replay. || Add an error branch: replace loader with 'Replay not found' heading, explanati…","Replace the eternal loader with the toast's message plus a 'Back to start' button when the replay fetch 404s. || Stop the spinner and show static 'Replay not found' text with a home link. || Hide the loading block when the not-found message renders. || After fetch failure, render an error view with one recovery link","Unknown replay id renders a static error screen with a working exit within one second; no stale progress indicators. || Visiting /replay/<unknown> shows a stable not-found page within one load cycle, with no spinner and at least one working recovery CTA; header shows no fake step progress. || Unknown replay id → static not-found view, no spinner. || ['Bad replay id shows persistent in-content error within ~2s', 'At least one recovery link present…",S,medium,A6-02 A9-02 A1-09 A8-09
MB-009,P1,High,Reproduced by multiple independent agents,Verification integrity,"/api/sessions/<id>/events; /proof/{id} — 'Download repaired notebook' vs Boundary verified runs; /replay/leakage-01 vs /session/<uuid> + downloaded proof records; /session/<id> (Boundary + /proof), /r",Technological Implementation,"Proof-integrity appearance: identical verified metrics carry two different result_hash values (kernel/session a6ae7652… vs verifier/replay 25016542…), two commit IDs, and per-path featureSetFingerprints — unexplained in any UI","Sample UI and verifiedResultSet show a6ae7652e04e…; lab.verified payload and replay (API + UI) show 2501654264b9…. Within ONE proof bundle the two resultHash fields disagree. featureSetFingerprint random_row_split: 1fd4ea95… (sample) vs 621d1d17… (replay); identity_ablation: 9641773f… vs 25611036b…. Metrics identical to 12 decimal places, so the numbers are the same fixture; the hash domains differ. 'canonical_result_hash' is a verified invariant, yet the canonical value is path-dependent. || Hashes differ (a6ae7652e04e… vs 2501654264b9…) while the proof page simultaneously asserts replay_id=l…","Publish the canonicalization (hash domain separation labels, e.g., 'kernel-result-hash' vs 'verifier-approved-hash'), or unify to one canonical hash and explain any intentional difference in the bundle. || Display the kernel/verifier version beside each result hash and add one line on the proof page: 'this session recomputed the leakage-01 scenario under kernel vX; replay was recorded under v1' || Add explicit lineage: label the 2026-07-14 recorded hash as the v1 canonical reference, the fresh h…","Rename fields to distinct names (kernelResultHash vs verifierApprovedResultHash) and document both in the proof bundle. || Add version labels next to the truncated hashes on step 4, replay, and proof pages || One sentence on the replay and proof screens: 'Result hash schema upgraded after this v1 recording; metrics are byte-identical (98.5/59.4/67.4, seed 1729)' || Add a one-line gloss under 'Tech…",A third party can recompute or at least explain every displayed hash from the bundled payload. || A judge can explain any hash difference from information on the page || Every surface that shows a result hash identifies its schema/version; capsule contains an explicit supersedes/recorded-vs-recomputed field; replay banner and lab.verified use the same commit identifier or explain the two formats || Every hash shown in UI has a named definition; a…,S-M,Medium-high,A10-04 A4-05 A3-04 A1-10 A16-06 A16-10 A10-08
MB-010,P1,High,Always (any valid session id),Security surface,"/api/sessions/<id>, /api/sessions/<id>/events, /api/replays/<id>; /session/<id>, /proof/<id>, /api/sessions/<id>, /api/sessions/<id>/events",Technological Implementation,"Entire session/replay API is unauthenticated bearer-capability: any link holder reads claim, confidence, full event chain and downloads the signed bundle + repaired notebook; no expiry/revocation observed (≥6 h persistence)","GET /api/sessions/<id> returns the complete session with no authentication: the learner's free-text claim, their written revision, the sealed prediction with confidence, the full notebook patch diff, and the entire HMAC-signed proof bundle including its signature. A session completed 6.2 hours earlier was still fully readable and its downloads still worked. No expiry, no auth challenge, no robots.txt. || Zero authentication on every route and API; URL holder reads everything including the learner's raw claim text, confidence, and signed artifacts; no delete/expire affordance observed","Add an explicit sharing model: expiring signed share links for proof pages, a session TTL with clear messaging, and a visible privacy note; add robots.txt/noindex; consider redacting free-text learner fields from the public read model. || Document the capability-URL model in the UI; add session expiry and a delete/forget affordance; separate proof IDs from session IDs; add an interstitial warning before first share/download","Add a clear 'Anyone with this link can view this session' notice on /session and /proof, plus a session expiry (e.g. 24h) and robots.txt disallowing /session and /proof. || Add a visible 'Anyone with this link can view this session' label on session and proof pages",A documented TTL or revocation exists; expired/unauthorized reads return 401/404; UI discloses link-based visibility; /api/sessions/<id> for an expired session no longer returns learner free text. || UI states the bearer-link model; sessions expire or are deletable; proof and session IDs are distinct capabilities,Medium.,Medium (protects Potential Impact credibility for the education audience; avoids a judge downgrade on data handling).,A9-03 A12-01
