"Issue ID","Title","Severity","Confidence","Reproducibility","Category","Affected route or component","Affected user","Affected Devpost criterion","Environment","Prerequisites","Reproduction steps","Expected behaviour","Actual behaviour","Evidence","Console or network evidence","Source-code evidence","Root-cause hypothesis","Learner impact","Judge impact","Trust or integrity impact","Recommended correction","Smallest acceptable fix","Acceptance criteria","Regression test","Dependencies","Estimated effort","Score leverage","Related issues"
"CL-001","The official Devpost entry is an empty, unsubmitted pre-draft","P0 — Submission or integrity blocker","confirmed","always","submission","Devpost project 1330312 and submission package","judges and submitter","all four criteria and Stage One eligibility","official Devpost state captured 2026-07-18 UTC","authenticated access to the project record","Open project 1330312; inspect title, status, description, tagline, category, video, repository, live URL, feedback ID, slug, and submission timestamp.","A complete Education entry is publicly judgeable and submitted before 2026-07-22T00:00:00Z.","Status is submission_pre_draft; title is Untitled; description is empty; no tagline, video, public slug, website, or submitted timestamp exists.","Observed official state in evidence/test-results/devpost-project-baseline.md; requirements in evidence/test-results/devpost-official-baseline.md.","Devpost project record returned the empty fields; no mutation was attempted.","docs/DEVPOST_COPY.md, docs/DEMO_SCRIPT.md, and docs/SCREENSHOT_PLAN.md are local plans only and cannot substitute for submission.","Submission preparation remained in repository documents and was never transferred into a final entry.","None directly.","The project is not judgeable and receives no criterion credit.","Any claim of current submission readiness would be false.","Populate every mandatory field, verify repository access and the public video, preview logged out, submit, then verify public slug and submitted_at.","A valid submitted entry with Education category, description, live Judge URL, repository access, public sub-three-minute narrated video, Codex/GPT explanation, /feedback session ID, and required submitter fields.","The official record is no longer pre-draft; all mandatory links work anonymously or are shared with required judges; video duration/audio comply; submission receipt is captured before the deadline.","Reopen the public submission logged out and run the official requirement checklist immediately before the deadline.","Frozen release receipt, video, repository-sharing decision, feedback ID.","S","very high","CL-002; CL-006; CL-010"
"CL-002","Public Worker 82 is healthy but not bound to an exact qualified source and Container release","P1 — First-prize blocker","confirmed","always","reliability","public Worker, hosted runner, release evidence, all authoritative journeys","judges and learners relying on live authority","Technological Implementation","Worker version bef5edb7-6a76-4c72-94be-fcb2b94e668d; deployment dad4cd71-3dcd-4b00-a1b6-d16068d53c81","Public app and repository access","Read /ready and /api/health; inspect current release records for source commit, Container digest, and exact-version live/sample/replay/reconnect/download/no-secret/browser qualification.","One immutable receipt binds commit, assets, Worker, Container digest, schemas, migrations, smoke results, browser matrix, and evidence exports.","Health checks are green, but the public build exposes no source commit or Container digest and no exact-Worker-82 full journey qualification exists.","Observed live health in evidence/network/public-api-baseline.md; verified in documentation release gap in evidence/test-results/red-team.md and 09_REPOSITORY_AND_TEST_AUDIT.md.","/ready and /api/health return 200; readiness says configured/available, not completed end to end.","scripts/production-smoke.sh, scripts/release-evidence.mjs, deployment manifests, and older receipts demonstrate machinery but do not bind Worker 82.","Deployment advanced without running or recording the complete source-bound release gate.","A transient or configuration-specific failure could appear only in the real journey.","The strongest architecture remains asserted rather than demonstrated on the exact public build.","Historical evidence could be mistaken for current production proof.","Freeze a release tuple and run the complete public matrix against it.","Commit/asset/Worker/Container receipt plus one genuine supported live run, sample, replay, SSE reconnect, patched-copy download, Capsule export, browser smoke, and secret scan, all linked to the same tuple.","Every receipt names matching immutable identifiers; public UI exposes a build identifier; all required journeys pass twice from clean state; failures are retained rather than concealed.","Source-bound production-smoke gate blocks release when any identifier or journey evidence differs.","Stable release candidate, credentials, supported fixture, non-destructive production test account/path.","M","very high","CL-001; CL-004; CL-007; CL-008"
"CL-003","The plain-language question CTA leads to a notebook-required dead end","P1 — First-prize blocker","confirmed","always","UX","/ question form to /new","first-time learner without a prepared notebook","Design","public Chromium 150 at desktop and mobile viewports","Clean first visit","Enter “Does high accuracy mean the rare cases are being caught?” on /; submit; inspect destination.","The app routes the learner to a supported guided/sample path or clearly asks them to choose whether they have a notebook.","It navigates to /new, headed “Test my notebook,” even though the landing copy presents a notebook as optional.","Observed live in evidence/screenshots/red-team-plain-claim-destination.png and evidence/test-results/live-chrome-public-routes-20260719.json; independently confirmed by red team.","No failed request and no write request; this is deterministic routing, not an outage.","apps/web/src/App.tsx routes plain prompt submission through the live notebook mode and then renders notebook setup.","The chat-first shell was layered onto an artifact-first flow without a claim-only state transition.","Immediate abandonment or confusion before the scientific loop begins.","The primary CTA contradicts the product’s “Ask like chat” promise.","Support-boundary copy becomes misleading.","Add an explicit claim-only handoff with two honest choices: run the fast sample/guided lesson or attach a supported notebook.","After a plain claim, preserve the claim and show one dominant sample CTA plus a secondary upload CTA with one-sentence support boundary.","A no-notebook learner reaches Prediction in at most two further actions; the question persists; no route calls a notebook optional and then requires it without explanation.","Playwright clean-state test for claim-only landing at 390×844 and 1440×900.","Copy and routing only; no backend change required.","S","very high","CL-005; CL-014"
"CL-004","Legacy replay adds an unlabeled local-practice completion over read-only evidence","P1 — First-prize blocker","confirmed","always","verification","/replay/leakage-01, Judge replay card, local replay state","judges and learners inspecting proof","Technological Implementation and Design","public Chromium 150, clean profile","Open legacy replay and continue through revision, transfer, and repair","Load replay; enter/accept a revision; perform local transfer; proceed to repair; inspect banner and completion language.","Stored replay remains strictly read-only, or any browser-local practice branch is persistently labelled non-authoritative and separate.","With zero post-load network writes, the UI authors a local revision, scores transfer, marks repair complete, and shows Reasoning Diff while Judge copy says “Read-only stored events. No new experiment.”","Observed live screenshots evidence/screenshots/red-team-legacy-replay-after-continue.png and evidence/screenshots/red-team-legacy-replay-local-completion.png; verified in source and red-team confirmed.","Zero post-load network requests during local completion; stored replay evidence was not mutated.","Replay branch and counterlab.replayTransferState handling in apps/web/src/App.tsx; read-only promise in apps/web/src/features/judge/JudgeModeView.tsx.","Learner-practice UI was reused for legacy replay without a separate authority discriminant.","Learners cannot tell recorded proof from their local rehearsal.","A central epistemic-integrity promise appears internally inconsistent.","Local state can look verified even though it is not part of the stored run; no server corruption was found.","Split read-only replay from practice, or label every local branch and suppress verified completion language/download authority.","Persistent “Local practice — not recorded or verified” label, separate styling, no “verified/patched/completed proof” wording, and a reset that cannot affect stored evidence.","Replay network remains GET-only; local choices never alter or impersonate recorded evidence; Capsule v2 replay remains exact; labels persist at every viewport and exported screenshot.","Browser test asserts no non-GET, immutable replay hashes, persistent practice label, and absence of authoritative completion terms.","Mode/state contract and copy.","M","very high","CL-002; CL-013"
"CL-005","The judge fast sample promises a complete loop but does not provide a real Boundary exploration","P1 — First-prize blocker","high","always","pedagogy","Judge sample CTA and non-live leakage sample Boundary stage","time-constrained judge and sample learner","Design and Quality of the Idea","public Judge/sample behavior plus current source","Start the fast sample and reach Boundary","Click “Start the 2-minute sample”; complete prediction/result; inspect Explore/Boundary controls.","“Complete learning loop” includes one bounded control or fixed Boundary Map whose values come from authoritative computation.","The non-live leakage sample presents a static overlap explanation and says live recomputation is elsewhere; no actual bounded exploration occurs.","Verified in source and independently confirmed in evidence/test-results/red-team.md; Judge promise is visible in public UI.","Not applicable; the missing interaction is deterministic.","apps/web/src/features/judge/JudgeModeView.tsx advertises the complete loop; non-live Boundary branches in apps/web/src/App.tsx render explanatory content.","Judge copy advanced to the v5 thesis before the sample path acquired its Boundary Map.","The learner is told a boundary rather than discovering where the rule changes.","The fastest judging path omits one of the category-defining mechanisms.","“Complete” overstates demonstrated scope.","Add one deterministic sample Boundary control/mini-map using bundled fixed-kernel evidence, or narrow the promise until it exists.","A single allowlisted control with fixed precomputed/signed sample cells, accessible table, changed-condition explanation, and explicit sample label.","Learner changes one bounded condition; result updates from fixed bundled evidence; the boundary insight is elicited before transfer; all values hash-bind to sample provenance.","Component and browser tests validate control bounds, deterministic cells, accessible table, and no live/sample authority leakage.","Existing sample evidence and Boundary presentation.","M","very high","CL-003; CL-011"
"CL-006","Potential-impact claims have no observed learner data","P1 — First-prize blocker","confirmed","always","impact","submission narrative, learner pilot, impact evidence","judges assessing educational value and target learners","Potential Impact","repository evidence at audit checkpoint","Inspect learner study records","Open docs/LEARNER_PILOT_RESULTS.json and study protocol; compare claims with recorded participants, completions, transfer, timing, confusion, and retention.","Submission distinguishes measured behavior from targets and provides at least a small credible learner/usability dataset.","Status is NO_DATA; participants and completions are zero; metrics are null; the prepared protocol has no comparison arm.","Documented only/no measured evidence in docs/LEARNER_PILOT_RESULTS.json; red-team confirmed.","None.","Software transfer tests and mutation scores exist but are not learner-impact evidence.","Engineering validation was prioritized ahead of recruiting and observing learners.","Unknown completion, confusion, transfer, and retention performance.","Strongest likely objection under Potential Impact; architecture cannot compensate for absent outcomes.","Overclaiming learning effects would be unsupported; current NO_DATA honesty is a strength.","Run a small consented paired/counterbalanced explanation-only versus CounterLab study; otherwise run usability-only sessions and keep learning-effect claims absent.","Five to eight participants if feasible, reporting every count, first unassisted transfer attempt, time, completion, confusion/abandonment, qualitative reactions, and limitations; three-person usability-only evidence is the fallback.","Raw de-identified records exist; protocol and analysis were fixed before results; all denominators and exclusions are visible; no mastery or retention claim exceeds data.","Submission claim table maps each numeric/qualitative claim to a study record or labels it a target.","Participant recruitment, consent/privacy handling, stable release.","M","very high","CL-001; CL-009"
"CL-007","No repository-visible inbound abuse or cost control protects expensive public routes","P1 — First-prize blocker","high","always","security","public artifact/session/GPT/compile/patch endpoints","operators and legitimate learners","Technological Implementation","current Worker source/config; Cloudflare account rules unverified","Source inspection only; no load test","Trace public expensive routes and middleware; search config for caller quota, rate, challenge, or cost budget enforcement.","Server-side per-origin/session budgets and bounded concurrency reject abuse with typed retry guidance before model/runner cost.","Source exposes public expensive routes without repository-visible inbound rate middleware; only upstream 429 handling was found.","Verified in source, production-account controls unverified; 08_AI_CODEX_VERIFICATION_SECURITY.md and red-team matrix.","No abuse, load, quota-exhaustion, or denial-of-wallet test was attempted.","Route inventory in apps/web/worker/api.ts and deployment config lacks an in-repository caller budget.","Bounded job execution was implemented, but admission/cost policy was left to an undocumented external layer.","Legitimate runs could be delayed or unavailable during abuse/quota exhaustion.","Production-readiness doubt on a public model/Container product.","Cost and availability boundary is not auditable from the release.","Add a small in-repository admission limiter and document any Cloudflare account-level layer.","Per-IP/session sliding budget for expensive starts, global concurrency cap, typed 429 with Retry-After, idempotency exemption, metrics, and judge-path allowance without bypassing safety.","Bounded safe tests show allowed burst, enforced limit before downstream calls, recovery, no duplicate charge, and no effect on GET/replay paths.","Worker tests for budget windows, forwarded-address trust policy, concurrency, idempotent retries, and upstream 429 mapping.","Durable state/rate primitive and deployment configuration.","M","high","CL-002; CL-017"
"CL-008","Hosted Codex read isolation is described more strongly than the OS boundary enforces","P1 — First-prize blocker","high","always","AI usage","hosted runner launch boundary, App Server client, architecture claims","judges evaluating generated-versus-fixed authority","Technological Implementation","current source and final runner image definition; Worker 82 exact Container source unbound","Inspect hosted launch boundary and image permissions","Trace UID/GID, credential staging, mount/chroot/user namespace, read allowlist, image paths, and capability assertions.","If documentation claims Codex cannot see hidden source/verifiers, OS isolation makes those paths absent/unreadable and proves it in the production image.","Credentials are staged/revoked and privileges dropped, but there is no mount namespace, chroot, or read allowlist; /app/runner.mjs and runtime files are world-readable. Structured output still fails closed.","Verified in source in services/hosted-runner/src/launch-boundary.ts, packages/codex-client/src/app-server.ts, and Dockerfile.runner; independently confirmed. No read/exfiltration exploit was attempted or found.","No live Codex request or hidden-file probe ran in production.","Launch boundary applies setpriv/no-new-privs and path checks but no filesystem namespace; client treats the boundary as satisfying generation read isolation.","Credential/privilege isolation was conflated with filesystem unreadability.","Fixed verification still prevents generated output from becoming authority, but the architectural explanation is less clean than claimed.","A sophisticated technical judge can invalidate a headline security claim.","Claim gap, not demonstrated leakage or unverified-result release.","Immediately label the property partial; then isolate the generator with a minimal read-only runtime/workspace view and black-box probes.","Replace “OS-enforced hidden-source isolation” with “credential-and-privilege boundary; filesystem read isolation partial” in all public evidence and health receipts.","Claims match enforcement; prize-quality completion additionally proves /app, verifier, fixtures, repository, unrelated jobs, and credentials absent while allowed runtime/workspace works.","Production-image black-box test attempts every forbidden read and allowed generation operation, retaining exact digest-bound output.","Release qualification; full isolation may require image/runner architecture work.","XS for honest claim; L for full isolation","high","CL-002; CL-010"
"CL-009","Two adjacent ML packs do not yet prove a reusable scientific-debugger category","P1 — First-prize blocker","medium","always","novelty","supported Subject Packs, Judge narrative, submission positioning","judges comparing category breadth","Quality of the Idea","public app and current repository","Inspect available sample/live packs","Inventory shipped and publicly reachable verified packs.","The product either proves its reusable abstraction across domains or makes a deliberately narrow ML-learning claim.","Only entity leakage and class imbalance—two adjacent notebook/ML evaluation misconceptions—are released; guided physics is not public.","Observed/documented scope in README, Judge copy, route inventory, and 11_NOVELTY_AND_COMPETITIVE_GAPS.md.","No hidden public physics route was discovered.","Registered Subject Pack and route inventories contain the two ML packs.","Scientific-engine generalization remains planned behind core release gates.","Current usefulness is limited to a narrow but real learner population.","The “new category” may look like a polished two-lesson notebook debugger.","Broad STEM/system claims would exceed evidence.","First qualify the core. If time remains, ship exactly one fully verified cross-domain guided pack; otherwise narrow positioning and show pack interfaces/tests as extensibility evidence.","Honest “two ML misconceptions” scope plus one clear reusable-pack architecture diagram and no all-STEM claim.","Submission names exactly what is supported; any cross-domain addition passes full kernel/oracle/unit/boundary/transfer/mutation/Capsule/release gates.","Public capability manifest and submission claim test fail on unregistered/unqualified pack claims.","CL-002 must be green before optional physics work.","XS for narrowing; XL for a prize-quality third pack","high","CL-005; CL-006; CL-010"
"CL-010","Public metadata and prepared Devpost copy use stale category and legacy authority vocabulary","P1 — First-prize blocker","high","always","documentation","public document title, docs/DEVPOST_COPY.md, demo/submission narrative","submission-only judges","Quality of the Idea and Technological Implementation","repository at source checkpoint; actual Devpost remains empty","Compare submission draft with current README, Judge Mode, and contracts","Open / or /judge and inspect the document title; read docs/DEVPOST_COPY.md and compare its category/artifacts with current vocabulary.","App, README, video, screenshots, and submission use one accurate product thesis and authority map.","Live title is CounterLab — CI for understanding; draft uses the same weaker category and legacy Belief Test, Experiment Plan, and Proof Bundle terms.","Observed live in evidence/test-results/final-public-recheck.json and verified in documentation; red-team confirmed draft drift.","Final recheck returned the stale title on / and /judge without route errors.","Current vocabulary and authority contracts appear in AGENTS.md, README.md, shared contracts, and Judge UI.","Submission draft predates the current scientific-engine/product constitution.","None directly.","Makes the product sound developer-centric, in flux, and less novel; hides tri-state evidence, Boundary, transfer gate, and four-authority split.","Could create contradictions with the public build/video.","Rewrite one canonical submission narrative from the frozen release and derive video/screenshots/judge instructions from it.","Public metadata and submission title use scientific debugger for beliefs plus current vocabulary, scope, authority, impact, and release receipt.","Browser metadata, Devpost, README, video, screenshots, and claim table have no unsupported or legacy term and every major claim has evidence or limitation.","Manual submission preflight comparing public copy, README opening, video captions, and exact build manifest.","CL-001, CL-002, final impact evidence.","S","high","CL-001; CL-008; CL-009"
